Date,2011,2012,2013,2014,2015,2016,2017,2018
January,359,357,495,412,485,-247,313,313
February,324,334,447,372,438,-231,282,282
March,375,361,465,442,485,426,400,1279
April,345,353,436,432,469,412,412,441
May,368,365,451,446,485,426,424,1106
June,404,315,569,457,469,347,405,486
July,435,299,657,485,485,283,419,256
August,433,299,657,485,485,283,419,344
September,346,357,478,469,469,465,405,424
October,357,422,424,485,485,553,417,418
November,346,408,409,469,469,535,400,412
December,357,488,412,485,-58,313,316,540
