Date,2011,2012,2013,2014,2015
January,107777,109117,109582,108664,99481
February,105383,110473,98032,96733,92002
March,113136,109980,107506,107003,101952
April,109962,101340,106052,103672,102460
May,113648,112608,112458,110164,107326
June,117221,109970,115136,111866,108332
July,119465,118610,132643,117742,117825
August,122614,126080,126571,111763,120904
September,117136,118628,118080,109739,113004
October,113141,113414,119439,110934,115316
November,108130,107416,103904,105752,105581
December,107326,103808,103434,99785,100189
