Library,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
Blakelaw,39%,31%,33%,37%,36%,58%,66%,63%,40%,53%,68%,66%,47%,50%,56%,51%,60%,49%,49%,56%,39%,41%,53%,46%,43%,42%,46%,48%,47%,46%,56%,43%,33%,35%,49%,41%,41%,44%,38%,44%,48%,41%,35%,33%,27%,31%,36%,33%,37%,26%,40%,38%,45%,26%,35%,33%,19%,26%,34%,31%,38%,30%,34%,37%,49%,50%,45%,43%,28%,39%,47%,,44%,44%,40%,41%,51%,43%,48%,36%,24%,33%,39%,29%,30%,34%,25%,33%,43%,35%,36%,38%,21%,9%,5%,30%,26%,23%,33%,35%,46%,41%,45%,44%,30%,23%,27%,39%,33%,26%,33%,40%,62%,36%,42%,26%,26%,33%,29%,32%,53%,24%,24%,41%,30%,18%,21%,27%,18%,36%,21%,21%,11%,15%,13%,16%,10%,10%,7%,11%,9%,6%,12%,5%,0%
City,69%,67%,76%,75%,75%,72%,74%,66%,57%,66%,67%,77%,82%,,39%,58%,62%,63%,62%,61%,57%,62%,65%,64%,62%,62%,61%,63%,64%,64%,62%,58%,48%,55%,61%,66%,57%,62%,59%,60%,58%,60%,55%,57%,47%,54%,60%,55%,58%,59%,64%,66%,67%,61%,66%,65%,54%,61%,64%,65%,63%,56%,57%,62%,65%,66%,60%,60%,46%,56%,59%,,60%,58%,53%,53%,60%,58%,57%,46%,40%,54%,50%,50%,51%,50%,49%,50%,51%,56%,56%,55%,40%,53%,55%,54%,56%,70%,64%,69%,69%,66%,65%,65%,57%,58%,57%,56%,58%,56%,55%,54%,57%,56%,55%,53%,44%,54%,47%,52%,53%,53%,49%,49%,50%,47%,47%,47%,43%,47%,46%,54%,47%,46%,37%,36%,37%,36%,36%,35%,28%,34%,37%,25%,0%
Cruddas Park,47%,48%,46%,48%,54%,40%,44%,51%,41%,42%,53%,54%,53%,55%,42%,46%,51%,40%,52%,53%,40%,45%,49%,45%,53%,49%,46%,51%,45%,37%,42%,37%,35%,34%,44%,43%,44%,49%,40%,47%,46%,47%,49%,39%,29%,42%,43%,36%,40%,39%,38%,32%,44%,44%,47%,46%,31%,36%,45%,49%,51%,41%,0%,,,,,,,,,,0%,0%,7%,21%,30%,29%,28%,21%,16%,21%,28%,25%,22%,23%,25%,35%,34%,29%,29%,32%,26%,32%,28%,31%,36%,36%,34%,32%,33%,32%,28%,29%,21%,32%,38%,36%,40%,40%,40%,35%,39%,35%,38%,37%,29%,30%,41%,32%,45%,43%,39%,46%,42%,35%,39%,37%,24%,37%,37%,39%,38%,35%,37%,33%,36%,30%,25%,23%,17%,24%,24%,16%,0%
Denton Burn,36%,33%,31%,36%,43%,33%,29%,34%,23%,34%,33%,36%,37%,35%,36%,31%,36%,32%,42%,39%,28%,38%,44%,44%,26%,38%,39%,40%,41%,41%,36%,36%,20%,32%,40%,35%,35%,37%,34%,38%,42%,38%,40%,38%,26%,35%,42%,31%,38%,37%,33%,30%,34%,31%,36%,38%,23%,30%,36%,36%,42%,42%,,37%,43%,33%,33%,34%,21%,28%,33%,,27%,24%,21%,22%,24%,22%,3%,0%,,,,,2%,18%,16%,14%,15%,17%,16%,14%,9%,12%,15%,14%,13%,18%,25%,30%,34%,32%,31%,27%,24%,30%,30%,31%,33%,27%,24%,28%,28%,31%,27%,24%,20%,31%,35%,22%,25%,22%,22%,23%,22%,26%,25%,29%,15%,21%,29%,25%,23%,25%,37%,21%,18%,25%,18%,17%,14%,19%,24%,15%,0%
Dinnington,18%,20%,28%,29%,24%,31%,37%,36%,26%,35%,37%,33%,29%,42%,34%,46%,35%,34%,34%,25%,21%,29%,32%,34%,26%,23%,18%,28%,37%,31%,35%,23%,9%,34%,31%,30%,30%,29%,35%,29%,36%,27%,30%,26%,9%,20%,32%,29%,18%,20%,22%,26%,26%,20%,29%,16%,12%,28%,13%,18%,19%,13%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East End,65%,53%,56%,60%,72%,68%,67%,58%,58%,62%,60%,58%,63%,70%,58%,60%,57%,52%,65%,61%,59%,68%,73%,69%,68%,61%,61%,64%,69%,68%,49%,56%,49%,59%,63%,68%,61%,61%,59%,62%,63%,60%,61%,58%,50%,55%,58%,57%,55%,56%,60%,59%,65%,55%,60%,62%,50%,53%,55%,60%,61%,55%,61%,63%,68%,64%,62%,61%,47%,57%,59%,,60%,57%,55%,54%,62%,55%,54%,46%,37%,48%,47%,45%,43%,44%,44%,34%,47%,48%,51%,45%,32%,40%,49%,50%,66%,,,14%,47%,54%,50%,48%,39%,45%,31%,31%,31%,32%,27%,30%,27%,36%,34%,34%,26%,34%,33%,32%,36%,34%,39%,34%,43%,31%,36%,29%,37%,29%,35%,31%,28%,35%,0%,0%,0%,0%,9%,26%,23%,24%,23%,20%,0%
Fawdon,42%,37%,44%,41%,42%,40%,50%,22%,29%,34%,41%,34%,40%,55%,28%,39%,43%,32%,32%,35%,42%,44%,54%,41%,40%,37%,42%,52%,69%,57%,51%,45%,35%,40%,33%,41%,42%,42%,40%,30%,35%,36%,31%,42%,26%,24%,27%,29%,40%,32%,27%,31%,36%,19%,31%,33%,23%,37%,44%,39%,29%,51%,53%,49%,47%,58%,48%,39%,23%,32%,48%,,40%,35%,24%,32%,20%,15%,15%,36%,9%,13%,19%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,15%,13%,10%,8%,11%,10%,12%,,,,6%,7%,12%,12%,18%,10%,7%,10%,2%,1%,5%,,,,,,,,,,,
Fenham,55%,46%,47%,50%,50%,50%,48%,48%,41%,49%,51%,54%,55%,75%,44%,42%,49%,44%,35%,33%,24%,31%,35%,27%,37%,34%,34%,33%,37%,35%,34%,29%,4%,0%,0%,16%,31%,24%,38%,35%,30%,27%,29%,28%,16%,21%,25%,22%,29%,24%,22%,26%,27%,24%,34%,32%,17%,19%,24%,22%,25%,24%,22%,24%,27%,,9%,,,,,,46%,44%,40%,38%,46%,38%,43%,31%,18%,30%,30%,32%,32%,31%,31%,30%,33%,32%,35%,32%,20%,31%,36%,36%,64%,47%,43%,43%,50%,45%,48%,37%,27%,34%,38%,32%,39%,27%,24%,31%,34%,28%,31%,27%,18%,26%,33%,22%,28%,30%,34%,43%,28%,17%,0%,19%,4%,19%,27%,10%,20%,25%,25%,28%,28%,34%,28%,30%,23%,33%,32%,22%,0%
Gosforth,55%,49%,55%,58%,63%,62%,63%,57%,51%,63%,65%,60%,56%,58%,52%,52%,54%,53%,53%,49%,40%,48%,54%,50%,48%,47%,45%,47%,47%,49%,48%,44%,32%,44%,51%,53%,48%,51%,51%,48%,43%,45%,45%,45%,32%,39%,44%,39%,38%,37%,40%,41%,36%,37%,44%,40%,30%,39%,43%,39%,39%,39%,35%,35%,39%,43%,43%,43%,29%,39%,37%,,39%,35%,34%,32%,32%,35%,35%,25%,21%,30%,28%,31%,30%,29%,33%,27%,27%,29%,36%,35%,21%,25%,31%,32%,44%,49%,31%,40%,40%,42%,43%,37%,29%,38%,36%,38%,37%,37%,36%,37%,42%,40%,31%,31%,30%,35%,34%,40%,40%,35%,44%,34%,39%,35%,35%,38%,24%,32%,25%,28%,30%,25%,30%,26%,34%,31%,27%,26%,18%,25%,25%,19%,0%
High Heaton,,,,,,,38%,38%,28%,33%,34%,35%,44%,40%,31%,32%,36%,39%,39%,42%,32%,32%,41%,39%,36%,30%,28%,30%,37%,38%,40%,35%,24%,28%,35%,38%,39%,39%,34%,32%,38%,37%,31%,33%,23%,28%,27%,23%,24%,27%,26%,26%,26%,27%,27%,29%,21%,28%,33%,32%,30%,26%,,31%,29%,31%,34%,33%,17%,33%,26%,,28%,24%,24%,24%,23%,23%,25%,15%,12%,19%,25%,23%,26%,24%,25%,28%,33%,25%,24%,20%,15%,19%,21%,33%,29%,32%,31%,23%,27%,28%,29%,25%,18%,25%,34%,24%,27%,28%,25%,24%,25%,29%,30%,24%,18%,22%,28%,17%,21%,22%,30%,19%,21%,23%,24%,20%,21%,42%,38%,40%,20%,42%,42%,19%,43%,16%,15%,16%,10%,17%,18%,11%,0%
