Library,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
Blakelaw,312,399,399,399,277,277,277,368,368,368,195,195,195,225,225,225,407,407,407,312,312,312,160,160,30,96,147,160,216,121,133,1054,708,1049,1731,1289,854,928,958,1565,1749,1850,1387,1408,774,1198,1486,1754,1058,1044,1122,1414,1477,923,1317,1217,689,763,1254,1542,931,945,1381,1517,1885,1300,1552,1268,894,1193,907,1167,728,798,815,889,935,1235,1090,933,650,805,1060,1011,798,802,812,1066,929,836,1231,1180,747,787,175,1032,811,735,752,710,553,1189,1452,1428,862,964,1092,1805,1556,1547,1267,1143,790,1225,1047,1142,664,703,577,1046,559,305,280,346,225,258,331,279,170,356,172,140,113,216,145,175,99,135,159,150,118,155,152,93,0
City,4865,4564,4636,5941,5680,6319,6113,5202,4038,4882,5043,5302,1311,2197,1805,25114,30014,33837,34655,30563,22588,31372,35177,43726,40324,45153,40791,46344,44904,44751,44428,37616,46169,38512,41307,41676,32225,34764,34024,34817,38623,36345,39016,33694,28024,35322,35868,35732,34432,36096,31271,31799,37023,35493,36247,33882,26696,32152,29176,29189,20866,27196,28396,33243,31383,33800,34104,29074,22755,27436,26680,28436,25272,24588,19328,25119,27282,27953,26721,22757,20399,28706,25256,29303,25225,26915,24712,27914,26709,27160,27137,24922,20414,24416,26379,23090,23967,21904,14326,25586,23810,23526,24223,22628,17413,20412,21449,26536,22587,22344,23062,23809,22599,23841,22816,20511,16054,19453,18473,18868,21178,17022,17374,15238,16339,14234,18844,17173,13319,14023,15100,15673,9870,8552,8529,10518,9954,9489,9860,9025,6427,8691,8051,4736,0
Cruddas Park,,815,815,815,659,659,659,672,672,672,503,503,503,533,533,533,650,650,650,576,576,576,780,780,287,292,505,579,568,590,396,1430,882,1024,1448,1569,1259,1224,1062,1183,1236,1364,1160,1014,887,1093,998,1227,1257,1267,859,1136,889,866,1022,1024,749,1009,795,829,971,998,382,,,,,,,,,,0,0,411,905,803,985,987,987,771,1332,1276,1131,1169,1175,1335,1411,1302,1566,1579,1402,1187,1287,1422,1451,1520,1348,884,1092,1179,1624,1215,1261,928,1491,1148,1283,1156,1207,974,1172,1275,1253,1284,1173,887,1066,1269,1126,826,704,583,634,532,434,572,512,307,370,458,481,463,454,400,533,498,438,455,415,299,479,396,232,0
Denton Burn,3324,1785,1785,1785,3133,3133,3133,1140,1140,1140,780,780,780,1326,1326,1326,2141,2141,2141,1911,1911,1911,1430,1430,130,331,666,942,1185,642,183,2587,2424,3283,3571,2739,3183,2715,2156,2409,2388,2023,2907,2070,1627,2116,1804,2372,1896,2193,1664,1377,1705,1230,1582,1537,449,1571,1967,2239,1950,1416,1596,372,374,476,469,386,231,359,378,357,308,278,373,319,294,404,38,,,,,,95,398,564,480,445,396,538,492,259,412,440,423,443,435,512,514,600,603,601,446,312,468,506,462,574,414,454,663,556,530,522,477,327,472,601,433,431,471,519,545,556,405,364,303,248,287,297,390,232,169,227,224,376,315,360,223,147,292,186,89,0
Dinnington,160,91,91,91,191,191,191,139,139,139,152,152,152,147,147,147,204,204,204,126,126,126,130,130,29,114,104,150,65,120,69,310,168,390,401,457,271,278,256,255,338,381,417,124,272,282,264,323,289,291,187,112,333,422,316,230,226,316,73,283,274,149,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East End,3094,3623,3623,3623,2717,2717,2717,2795,2795,2795,3627,3627,3627,2986,2986,2986,2535,2535,2535,3904,3904,3904,4719,4719,639,902,269,813,1115,401,119,4838,3884,5487,5315,5923,4038,4688,5982,6214,6369,5297,6052,4420,4096,3563,5789,6592,5954,6464,6257,9397,9813,8596,8412,8526,7196,7899,8087,8810,8561,4248,7433,7420,7550,7389,6228,6485,3745,4316,3945,4019,3625,3855,4943,5039,4188,4293,5075,4204,3291,4067,3903,3286,3181,1778,3715,6217,5774,5915,6916,5747,4910,5185,5987,5341,6506,62,,1578,3807,3743,6914,2237,1832,2125,2523,2809,1766,1609,2078,2025,1784,2242,2157,1564,1155,1473,2176,2342,1535,2104,2219,1998,2062,1565,1724,1599,1201,1554,1472,1688,979,717,0,0,0,0,252,690,548,866,768,455,0
Fawdon,680,568,568,568,490,490,490,,,,472,472,472,442,442,442,260,260,260,321,321,321,373,373,141,215,244,217,232,226,193,753,418,570,520,618,410,499,527,607,618,405,356,318,176,241,288,268,200,160,197,198,218,243,260,256,204,263,272,357,374,415,315,395,469,438,373,240,189,219,267,244,200,179,109,179,134,144,170,216,106,172,220,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenham,,1391,1391,1391,940,940,940,1127,1127,1127,1192,1192,1192,1543,1543,1543,1421,1421,1421,1465,1465,1465,2565,2565,81,921,738,795,828,664,282,2640,283,,,1500,1299,1679,1642,2095,2417,2194,2113,1589,1103,1793,1680,1513,1764,1332,1385,1801,1823,2084,2014,1888,1310,2155,1783,1874,1793,1554,1810,1720,1932,1741,,,,,,2185,1610,1876,2635,1735,1164,2449,1508,1204,801,1671,1324,1488,1486,1103,1341,1654,1113,1386,1492,1172,788,1149,1169,1128,1206,729,910,963,1014,1254,908,810,712,873,866,776,1193,1250,848,938,1951,1000,883,1637,1552,1904,2287,1284,978,821,585,482,701,222,1,190,116,461,262,268,635,786,534,695,842,565,771,650,418,584,594,357,0
Gosforth,3722,2994,2994,2994,3722,3722,3722,2778,2778,2778,4368,4368,4368,3354,3354,3354,2526,2526,2526,2184,2184,2184,3376,3376,1939,1674,1139,1161,1390,1128,694,3368,2536,3621,4155,4012,3065,3448,4223,4046,5088,4410,4837,4181,3071,3886,3622,3725,3308,3520,3408,4386,4943,5159,4254,4124,2982,3214,3670,3619,3726,4228,3678,4455,4182,4304,4254,3842,2632,3620,3410,3555,3243,2988,3022,4251,4624,5204,5249,4922,3850,4770,4521,5684,5045,6220,6211,6332,6115,5360,6650,5936,4131,4721,5308,5598,5567,3640,3060,3122,3380,2419,2479,2724,2038,2262,2370,2864,2032,2432,2706,2485,2668,2413,2360,2039,1718,2156,2655,2577,1279,1040,1298,1205,1391,2076,1791,1619,989,1586,1402,1133,884,1373,973,1680,1422,1471,1496,2094,1319,1844,1805,943,0
High Heaton,,,,,,,,,,,1660,1660,1660,2071,2071,2071,1421,1421,1421,1183,1183,1183,2271,2271,484,350,314,298,435,548,357,1826,1419,1903,1869,2073,1606,1778,1678,1664,1815,1712,1775,1703,1385,1881,1895,1635,1502,1225,1428,1704,1895,1640,1348,1315,832,1248,1305,1227,1158,989,944,588,692,601,600,542,404,552,521,447,468,324,249,386,458,531,537,597,401,395,695,423,466,308,286,587,385,567,492,365,254,471,370,430,549,537,698,527,846,643,653,513,425,481,416,557,429,567,539,616,682,723,647,889,668,947,1089,636,364,446,261,341,465,360,353,215,93,374,230,170,177,209,240,286,373,273,274,194,152,306,303,167,0
