venue,is_now_closed,gross_floor_space_m2,net_floor_space_m2
Benwell Library,,653,430
Blakelaw Library,,205,180
Cruddas Park Library,,325,243
Denton Burn Library,,340,325
Dinnington Library,,68,71
East End Library,,738,562
Fawdon Library,,28,28
Fenham Library,,750,360
High Heaton Library,,270,252
Jesmond Library,,391,222
Kenton Library,,280,228
Moorside Library,,75,75
Newbiggin Hall Library,,370,296
Newburn Library,,295,218
Outer West Library,,479,421
Walker Library,,705,186
Gosforth Library,closed,825,556
City Library,closed,9375,2279
City Mobile,,unknown,unknown
Local Studies,,unknown,unknown
Patents Advice Centre,,unknown,unknown
Tourist Information Centre,,unknown,unknown
