Author,Title,Loans,Number of copies
"Tyler, Anne",A Spool of Blue Thread,183,26
"Child, Lee",Make Me,179,18
"Karp, Marshall; Patterson, James",Nypd Red,166,27
"Hawkins, Paula",The Girl on the Train,162,14
"Grisham, John",Rogue Lawyer,160,19
"Cleeves, Ann",Dead Water,156,20
"Connelly, Michael",The Crossing,145,13
"Christie, Agatha",Poirot,139,21
"Child, Lee",Personal,134,13
"Cleeves, Ann",The Moth Catcher,130,13
"Baldacci, David",The escape,129,14
"Jacobs, Anna",Peppercorn Street,127,13
"Paetro, Maxine; Patterson, James",14th Deadly Sin,122,13
"James, Peter",You Are Dead,122,13
"Child, Lee",Never Go Back,120,14
"Jefferies, Dinah",The Tea Planter's Wife,120,12
"Patterson, James",Private Sydney,118,15
"Osmond, Hazel",The Mysterious Miss Mayhew,115,15
"Archer, Jeffrey",Mightier Than the Sword,113,15
"Ledwidge, Michael; Patterson, James",Alert,112,13
"Cole, Martina",Good Life,110,17
"Smith, Wilbur A",Golden Lion,110,12
"Rankin, Ian",Even Dogs in the Wild,110,13
"Archer, Jeffrey",Cometh the Hour,110,11
"Cox, Josephine",Lonely Girl,109,12
"Child, Lee",Worth Dying for,108,12
"Barclay, Linwood",Trust Your Eyes,108,16
"Baldacci, David",The forgotten,107,14
"Child, Lee",A Wanted Man,106,14
"La Plante, Lynda",Twisted,106,13
"Higgins, Jack",Rain on the dead,106,14
"Baldacci, David",The Guilty,106,14
"Cleeves, Ann",Thin Air,104,11
"Barclay, Linwood",No Safe House,104,16
"Swanson, Peter",The Kind Worth Killing,104,13
"Beaton, M. C",Agatha Raisin: Dishing the Dirt,104,10
"Ledwidge, Michael; Patterson, James",Burn,103,13
"Baldacci, David",Memory Man,103,11
"Cleeves, Ann",Harbour Street,102,12
"Tremayne, S. K",The Ice Twins,102,15
"Patterson, James; Roughan, Howard",Truth or Die,102,10
"Ellis, David; Patterson, James",Murder House,102,11
"Taylor, Debbie",Herring Girl,101,13
"Pearse, Lesley",Without a Trace,101,13
"Goodwin, Rosie",Dilly's Lass,100,10
"La Plante, Lynda",Silent Victims,98,11
"Mosse, Kate",The taxidermist's daughter,98,14
"Karp, Marshall; Patterson, James",Nypd Red 2,97,12
"Patterson, James",Hope to Die,97,14
"Andrews, Lyn",From Liverpool With Love,97,13
