Author,Title,Loans,Number of copies
"Whitsell, Phyllis",Finding Tipperary Mary,47,10
"Richards, Stephen",Gang Wars of the North : The Inside Story of the Deadly Battle Between Viv Graham and Lee Duffy,43,11
"Jeffers, Susan",Feel the Fear and Do It Anyway,41,21
"Bryson, Bill",The Road to Little Dribbling : More Notes from a Small Island,41,6
"Grundy, John",John Grundy's History of Newcastle,39,4
"Phinn, Gervase",Out of the Woods but Not over the Hill,34,9
"Phipps, Chris",Forget Carter: Newcastle on Film and Television,34,11
"Mason, John",Mystical Britain And Ireland,33,1
"Robb, J. D. 1950-",Calculated In Death,33,8
"Morgan, Alan",Byker,33,7
"Killick, John",Dementia positive : a handbook based on lived experiences for everyone wishing to improve the lives of those with dementia,33,13
"Bailey, Alex",Alzheimer's and Other Dementias : Answers at Your Fingertips,32,14
"Kalanithi, Paul",When Breath Becomes Air,31,4
"Clarkson, Wensley",Sexy Beasts : The Inside Story of the Hatton Garden Heist,31,5
"O'Grady, Paul","Open the Cage, Murphy!",30,6
"Passarlay, Gulwali",The Lightless Sky : My Journey to Safety As a Child Refugee,30,1
"Jason, David",David Jason : My Life,28,11
"Oliver, Jamie",Save With Jamie,27,12
"Greenberger, Dennis; Padesky, Christine A",Mind over mood : a cognitive therapy treatment manual for clients,26,32
"Hepworth, David",1971 - Never a Dull Moment : Rock's Golden Year,26,7
"Hunt, Roderick 1939-",Oxford Reading Tree: Stage 3: First Phonics: The Mud Bath,25,3
"Bowen, James",Street Cat Bob How one man and a cat saved each other's lives. A true story.,25,12
"Holland, James",Burma '44 : The Battle That Turned Britain's War in the East,25,5
"McEwan, Ian 1948-",Nutshell,25,2
"Collins, Phil",Not Dead Yet: the Autobiography,25,4
"Ronson, Jon",The psychopath test a journey through the madness industry,24,9
"Dorling Kindersley, Inc",Dk Eyewitness Travel Guide Spain,24,4
"Morley, Paul",The Age of Bowie,24,5
"Fox, Barbara",When The War Is Over,24,7
"Jakeman, Vanessa; McDowell, Clare",Cambridge Practice Tests For Ielts 1 Self-study Student's Book,23,5
"Dorling Kindersley, Inc",Dk Eyewitness Travel Guide Paris : 2018,23,5
"Hutchinson, Ken",Secret Newcastle,23,6
"Beard, Mary",SPQR : a history of ancient Rome,23,3
"Hankinson, Andrew",You Could Do Something Amazing With Your Life : You Are Raoul Moat,23,3
"McCarthy, Bernie",Hearing the person with dementia : person-centred approaches to communication for families and caregivers,23,14
"Fairburn, Christopher G",Overcoming binge eating : the proven program to learn why you binge and how you can stop,22,25
"Jones, Steve",Lonely Boy : Tales from a Sex Pistol,22,3
