Author,Title,Loans,Number of copies
"Rowling, J. K",Harry Potter and the Philosopher's Stone,184,25
"Rowling, J. K",Harry Potter and the Prisoner of Azkaban,157,23
"Rowling, J. K",Harry Potter and the Chamber of Secrets,148,25
"Rowling, J. K",Harry Potter and the Goblet of Fire,146,22
"Rowling, J. K",Harry Potter and the Half-blood Prince,137,27
"Dahl, Roald",Esio Trot,123,42
"Rowling, J. K",Harry Potter and the Deathly Hallows,122,24
"Rowling, J. K",Harry Potter and the Order of the Phoenix,119,18
"Kinney, Jeff",The Getaway,118,13
"Walliams, David",Grandpa's Great Escape,103,19
"Morpurgo, Michael","Arthur, High King of Britain",100,10
"Walliams, David",Awful Auntie,98,13
"Walliams, David",The Midnight Gang,97,11
"Walliams, David",Ratburger,96,15
"Pichon, Liz",Top of the Class (Nearly),96,11
"Dahl, Roald",The Twits,92,17
"McCombie, Karen; Monks, Lydia",Indie Kidd's (most excellent) guide to best friends,91,17
"Kinney, Jeff",Double Down,91,14
"Sendak, Maurice",Where the Wild Things Are,88,23
"Pilkey, Dav",Dog Man Unleashed,81,9
"Vulliamy, Clara",Dotty Detective,78,24
"Waddell, Martin","Can't You Sleep, Little Bear?",76,29
"Pichon, Liz",Yes! No (Maybe...),76,9
"Pichon, Liz",Tom Gates: Epic Adventure (Kind Of),71,13
"Vulliamy, Clara",The Pawprint Puzzle,70,27
"Dahl, Roald",The magic finger,69,13
"Pilkey, Dav",Dog Man and Cat Kid Dog Man and Cat Kid,68,7
"Walliams, David",Demon Dentist,67,9
"Wilson, Jacqueline",Wave Me Goodbye,67,9
"Pilkey, Dav",Captain Underpants and the Sensational Saga of Sir Stinks-a-lot,66,9
"Henn, Sophy","Bedtime, Ted!",66,11
"Simon, Francesca",Horrid Henry Early Reader: Horrid Henry and the Comfy Black Chair : Book 31,65,13
"Daykin, Chloe",Fish Boy,65,14
"Klassen, Jon",I Want My Hat Back,64,11
"Riordan, Rick",Percy Jackson and the Lightning Thief,60,8
"Pilkey, Dav",Captain Underpants and the revolting revenge of the radioactive robo-boxers : the tenth epic novel,60,8
"Dahl, Roald",The giraffe and the pelly and me,59,14
"Meadows, Daisy",Magic Animal Friends: Phoebe Paddlefoot Makes a Splash : Book 18,59,7
"Simon, Francesca",Horrid Henry Early Reader: Horrid Henry's Swimming Lesson,59,10
"Dahl, Roald",Fantastic Mr. Fox,58,16
"Dahl, Roald",Charlie and the Great Glass Elevator,58,13
"Cassidy, Cathy",Love from Lexie,58,10
"Walliams, David",Billionaire Boy,57,11
"Cassidy, Cathy",Broken Heart Club,57,12
"Wilson, Jacqueline",Clover Moon,57,9
"Rosen, Michael",Uncle Gobb and the green heads,57,14
"Kinney, Jeff",Dog Days,56,5
"Stanton, Andy",Mr Gum and the Biscuit Billionaire,53,16
"Morpurgo, Michael",An Eagle in the Snow,53,9
"Clary, Julian",The Bolds to the rescue,53,15
"Meadows, Daisy",Rainbow Magic: Susie the Sister Fairy : Special,52,8
"Meadows, Daisy",Magic Animal Friends: Sarah Scramblepaw's Big Step : Book 24,52,4
"Meadows, Daisy",Debbie the duckling fairy,52,6
"Evans, Maz",Who Let the Gods Out?,52,15
"Donaldson, Julia",Spinderella,51,8
"Cowell, Cressida",The Wizards of Once : Book 1,51,11
"Grabenstein, Chris; Patterson, James",Laugh Out Loud,51,8
Herge,Prisoners of the Sun,50,10
"Kinney, Jeff",Rodrick Rules,50,7
"Lewis, C. S","The lion, the witch, and the wardrobe bk. 2",50,10
"Lacome, Julie",Walking Through the Jungle,50,16
"Russell, Rachel Renee",Dork Diaries,50,6
"Donbavand, Tommy",Fangs Vampire Spy Book 2: Codename: The Tickler,50,32
"Cottrell Boyce, Frank",The astounding broccoli boy,50,13
"Gray, Kes",Daisy and the Trouble With Vampires,50,5
"Pichon, Liz",Tom Gates: Dogzombies Rule (For Now...),50,10
"Cole, Steve",Early Reader: Monstar and the Haunted House,50,9
"Meadows, Daisy",Magic Animal Friends: Isla Waddlewing Breaks the Ice : Special 7,50,5
"Rowling, J. K",The Tales of Beedle the Bard,49,11
"Sharratt, Nick (COR); Wilson, Jacqueline (COR)",Queenie : What'll Look After Elsie When She's Left All Alone,49,8
"Riddell, Chris",Goth girl and the ghost of a mouse,49,11
"Donbavand, Tommy",Operation: Golden Bum,49,27
"Meadows, Daisy",Rainbow Magic: Catherine the Fashion Princess Fairy : Special,49,9
"Meadows, Daisy",Rainbow Magic Beginner Reader: the Fairy Treasure Hunt : Book 4,49,5
"Almond, David",The boy who climbed into the moon,48,8
"Kinney, Jeff",Diary of a wimpy kid : the last straw 3,48,6
"Wilson, Jacqueline",Katy,48,8
"Willis, Jeanne",The T-rex Who Lost His Specs!,48,9
"Morpurgo, Michael",Homecoming,47,21
"Jarman, Julia",Two Shy Pandas,47,6
"Pullman, Philip",The Amber Spyglass,47,8
"Wilson, Jacqueline",Rent a Bridesmaid,47,7
"Pichon, Liz","Tom Gates: Biscuits, Bands and Very Big Plans",47,7
"Ahlberg, Allan",Mrs. Plug the Plumber,46,29
"Dahl, Roald",Matilda,46,9
"Walliams, David",Mr Stink,46,12
"Walliams, David",Gangsta Granny,46,14
"Kinney, Jeff",Diary of a wimpy kid : old school 10,46,12
"Meadows, Daisy",Magic Animal Friends: Pippa Hoppytail's Rocky Road : Book 21,46,6
"Pichon, Liz","Family, Friends and Furry Creatures",46,7
"Browne, Anthony",Willy's Stories,45,11
"Meadows, Daisy",Rainbow Magic Beginner Reader: the Fairyland Costume Ball : Book 5,45,5
"Morpurgo, Michael",Giant's Necklace,45,11
"Dennis, Helen",Genesis 1,45,8
"Wilson, Jacqueline",Rose Rivers,45,9
"Morpurgo, Michael",War Horse,44,15
"Simon, Francesca","Don't be Horrid, Henry!",44,12
"Dahl, Roald",George's Marvellous Medicine,44,12
"Cassidy, Cathy",Summer's Dream,44,11
"Blyton, Enid",Five Run Away Together,44,8
