Number of Active Borrowers 03/07/2006,
Registration Branch:    1  OUTER WEST LIBRARY,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,180
JUNIOR,63
TEMPORARY TICKET,11
STAFF,11
VIDEO,7
PSEUD,4
CARER,2
BOOKFRIEND,2
WORKER,1
CLASS VISITS,47
BOOKSTART,470
EAZ BORN TO READ,1
LIBRARY MAINTENANCE,9
SURE START WESTGATE,2
HOUSEBOUND READER,1
SURE START ARMSTRONG,2
SURE START COWGATE AND BLAKELAW,8
SURE START NEWBIGGIN HALL,7
SURE START NORTH MOOR,2
LIFELONG LEARNING,2
18+,4010
0-5,14
6-13,992
14-15,121
16-17,99
- 2 -,
03/07/06                     Report: reg_active_borro,wers
Number of Borrowers        __________,
Active at this Branch:           6068,
----------,
- 3 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    2  GOSFORTH,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,370
JUNIOR,85
TEMPORARY TICKET,2
STAFF,9
PSEUD,4
CARER,5
BOOKFRIEND,1
MINIBUS,36
HOMES,1
WORKER,6
CLASS VISITS,11
BOOKSTART,636
LIBRARY MAINTENANCE,14
RESERVATIONS,1
SAINSBURYS BORN TO READ,1
SURE START EAST,1
SURE START ARMSTRONG,1
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,33
LIFELONG LEARNING,1
18+,4784
0-5,14
6-13,1089
14-15,165
16-17,138
- 4 -,
03/07/06                     Report: reg_active_borro,wers
Number of Borrowers        __________,
Active at this Branch:           7409,
----------,
- 5 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    3  FENHAM,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,188
JUNIOR,67
STUDENT,1
TEMPORARY TICKET,5
STAFF,6
PSEUD,6
CARER,2
BOOKFRIEND,3
MINIBUS,1
WORKER,3
CLASS VISITS,15
BOOKSTART,297
EAZ BORN TO READ,1
LIBRARY MAINTENANCE,1
SURE START WESTGATE,13
SURE START EAST,4
SURE START FOSSWAY,1
SURE START ARMSTRONG,6
SURE START COWGATE AND BLAKELAW,13
SURE START NEWBIGGIN HALL,5
18+,1836
0-5,11
6-13,659
14-15,98
16-17,96
- 6 -,
03/07/06                     Report: reg_active_borro,wers
Number of Borrowers        __________,
Active at this Branch:           3338,
----------,
- 7 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    4  JESMOND,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,156
JUNIOR,57
TEMPORARY TICKET,3
STAFF,10
PSEUD,7
CARER,1
BOOKFRIEND,1
CLASS VISITS,2
BOOKSTART,328
EAZ BORN TO READ,3
LIBRARY MAINTENANCE,6
PLAYGROUPS,1
Dfee BORN TO READ,2
SAINSBURYS BORN TO READ,10
SURE START WESTGATE,7
SURE START EAST,4
SURE START FOSSWAY,1
SURE START ARMSTRONG,1
SURE START COWGATE AND BLAKELAW,1
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,5
18+,2317
0-5,10
6-13,427
14-15,54
16-17,37
- 8 -,
03/07/06                     Report: reg_active_borro,wers
Number of Borrowers        __________,
Active at this Branch:           3452,
----------,
- 9 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    5  KENTON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,64
JUNIOR,25
STAFF,3
CARER,2
MINIBUS,7
CLASS VISITS,2
BOOKSTART,103
LIBRARY MAINTENANCE,8
PLAYGROUPS,1
SURE START ARMSTRONG,1
SURE START COWGATE AND BLAKELAW,1
SURE START NEWBIGGIN HALL,2
SURE START NORTH MOOR,139
18+,1334
0-5,7
6-13,548
14-15,122
16-17,123
Number of Borrowers        __________,
Active at this Branch:           2492,
----------,
- 10 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    6  WALKER,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,112
JUNIOR,19
TEMPORARY TICKET,1
STAFF,5
PSEUD,6
MINIBUS,5
WORKER,1
CLASS VISITS,5
BOOKSTART,71
SURE START EAST,166
SURE START FOSSWAY,70
SURE START NORTH MOOR,2
18+,1136
0-5,6
6-13,349
14-15,51
16-17,44
Number of Borrowers        __________,
Active at this Branch:           2049,
----------,
- 11 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    7  HIGH HEATON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,240
JUNIOR,53
STAFF,3
PSEUD,8
CARER,4
MINIBUS,17
WORKER,1
CLASS VISITS,1
BOOKSTART,143
PLAYGROUPS,3
18+,740
0-5,8
6-13,228
14-15,21
16-17,24
Number of Borrowers        __________,
Active at this Branch:           1494,
----------,
- 12 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    8  HEATON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
BOOKSTART,2
Number of Borrowers        __________,
Active at this Branch:              2,
----------,
- 13 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:    9  BENWELL,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,63
JUNIOR,28
TEMPORARY TICKET,1
STAFF,2
PSEUD,1
CARER,1
MINIBUS,12
CLASS VISITS,12
BOOKSTART,98
PLAYGROUPS,1
SURE START WESTGATE,18
SURE START ARMSTRONG,223
SURE START COWGATE AND BLAKELAW,2
18+,1029
0-5,2
6-13,548
14-15,112
16-17,63
Number of Borrowers        __________,
Active at this Branch:           2216,
----------,
- 14 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   10  BYKER,
,Number of
Borrower Category,Borrowers
-------- --------,---------
BOOKSTART,9
SURE START WESTGATE,2
SURE START EAST,2
HOUSEBOUND READER,2
SURE START NEWBIGGIN HALL,2
SURE START NORTH MOOR,8
0-5,1
6-13,2
Number of Borrowers        __________,
Active at this Branch:             28,
----------,
- 15 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   11  NEWBIGGIN HALL,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,52
JUNIOR,22
STAFF,3
CARER,1
CLASS VISITS,8
BOOKSTART,62
LIBRARY MAINTENANCE,1
PLAYGROUPS,1
HOUSEBOUND READER,1
SURE START COWGATE AND BLAKELAW,5
SURE START NEWBIGGIN HALL,112
SURE START NORTH MOOR,1
18+,643
0-5,3
6-13,273
14-15,36
16-17,21
Number of Borrowers        __________,
Active at this Branch:           1245,
----------,
- 16 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   12  NEWBURN,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,50
JUNIOR,20
TEMPORARY TICKET,3
STAFF,2
PSEUD,1
HOMES,1
BOOKSTART,113
LIBRARY MAINTENANCE,2
SAINSBURYS BORN TO READ,1
SURE START WESTGATE,1
READING SCHEME,1
18+,625
0-5,5
6-13,188
14-15,42
16-17,30
Number of Borrowers        __________,
Active at this Branch:           1085,
----------,
- 17 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   13  BLAKELAW,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,25
JUNIOR,8
TEMPORARY TICKET,1
STAFF,1
CLASS VISITS,8
BOOKSTART,39
LIBRARY MAINTENANCE,5
PLAYGROUPS,1
HOUSEBOUND READER,1
SURE START COWGATE AND BLAKELAW,81
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,1
18+,270
0-5,12
6-13,240
14-15,38
16-17,12
Number of Borrowers        __________,
Active at this Branch:            744,
----------,
- 18 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   14  CRUDDAS PARK,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,32
JUNIOR,8
STAFF,1
PSEUD,4
WORKER,1
CLASS VISITS,8
BOOKSTART,46
SURE START WESTGATE,91
SURE START EAST,1
READING SCHEME,1
SURE START ARMSTRONG,7
SURE START NORTH MOOR,1
18+,527
0-5,3
6-13,138
14-15,18
16-17,12
Number of Borrowers        __________,
Active at this Branch:            899,
----------,
- 19 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   15  FAWDON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,31
JUNIOR,8
TEMPORARY TICKET,1
CLASS VISITS,7
BOOKSTART,24
LIBRARY MAINTENANCE,1
SURE START NORTH MOOR,52
18+,230
6-13,124
14-15,16
16-17,6
Number of Borrowers        __________,
Active at this Branch:            500,
----------,
- 20 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   16  WALKERVILLE,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,6
JUNIOR,4
BOOKSTART,1
18+,54
6-13,13
14-15,2
16-17,2
Number of Borrowers        __________,
Active at this Branch:             82,
----------,
- 21 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   17  SCOTSWOOD,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,1
JUNIOR,2
18+,18
6-13,5
14-15,2
Number of Borrowers        __________,
Active at this Branch:             28,
----------,
- 22 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   18  MONTAGU,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,7
JUNIOR,2
MINIBUS,1
18+,23
6-13,9
14-15,2
16-17,1
Number of Borrowers        __________,
Active at this Branch:             45,
----------,
- 23 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   19  DINNINGTON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,8
JUNIOR,3
PSEUD,1
CLASS VISITS,5
BOOKSTART,25
18+,171
0-5,2
6-13,63
14-15,8
16-17,11
Number of Borrowers        __________,
Active at this Branch:            297,
----------,
- 24 -,
03/07/06                     Report: reg_active_borro,wers
Registration Branch:   20  DENTON BURN,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,118
JUNIOR,25
TEMPORARY TICKET,4
STAFF,5
PSEUD,2
CARER,1
MINIBUS,2
WORKER,1
CLASS VISITS,5
BOOKSTART,232
EAZ BORN TO READ,1
LIBRARY MAINTENANCE,1
SURE START WESTGATE,4
READING SCHEME,1
SURE START ARMSTRONG,31
SURE START COWGATE AND BLAKELAW,1
18+,1289
0-5,9
6-13,390
14-15,54
16-17,32
Number of Borrowers        __________,
Active at this Branch:           2208,
----------,
- 25 -,
