01/10/08                     Report: reg_active_borro,wers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,181,0
JUNIOR,84,0
TEMPORARY TICKET,13,0
STAFF,12,0
VIDEO,3,0
PSEUD,5,0
CARER,4,0
BOOKFRIEND,6,0
WORKER,1,0
CLASS VISITS,44,0
BOOKSTART,621,0
LIBRARY MAINTENANCE,8,0
SURE START WESTGATE,2,0
READING SCHEME,1,0
SURE START RIVERSIDE,4,0
SURE START COWGATE AND BLAKELAW,7,0
SURE START NEWBIGGIN HALL,13,0
SURE START NORTH MOOR,1,0
18+,3886,0
0-5,20,0
6-13,978,0
14-15,94,0
16-17,94,0
LEISUREPLUS CARD ADULT,10,0
VISUALLY IMPAIRED,2,0
Number of Borrowers        __________,,1
Active at this Branch:           6094,,1
----------,,1
- 3 -,,1
01/10/08                     Report: reg_active_borro,wers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,188,0
JUNIOR,23,0
STUDENT,1,0
TEMPORARY TICKET,10,0
SUBSCRIPTION,1,0
STAFF,14,0
PSEUD,10,0
CARER,5,0
MINIBUS,27,0
HOMES,1,0
WORKER,2,0
CORPORATE,1,0
CLASS VISITS,35,0
BOOKSTART,1073,0
LIBRARY MAINTENANCE,17,0
PLAYGROUPS,1,0
SURE START RIVERSIDE,1,0
SURE START COWGATE AND BLAKELAW,2,0
SURE START NORTH MOOR,79,0
18+,6442,0
0-5,29,0
6-13,1674,0
14-15,202,0
16-17,182,0
LEISUREPLUS CARD ADULT,16,0
VISUALLY IMPAIRED,5,0
Number of Borrowers        __________,,1
Active at this Branch:          10041,,1
----------,,1
- 5 -,,1
01/10/08                     Report: reg_active_borro,wers2,0
Registration Branch:    3  FENHAM,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,122,0
JUNIOR,29,0
TEMPORARY TICKET,36,0
STAFF,12,0
PSEUD,5,0
CARER,2,0
BOOKFRIEND,1,0
MINIBUS,2,0
CLASS VISITS,21,0
BOOKSTART,470,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,7,0
SURE START WESTGATE,20,0
SURE START EAST,2,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,33,0
SURE START COWGATE AND BLAKELAW,25,0
SURE START NEWBIGGIN HALL,2,0
SURE START NORTH MOOR,4,0
18+,2452,0
0-5,23,0
6-13,787,0
14-15,98,0
16-17,91,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           4249,,1
----------,,1
- 7 -,,1
01/10/08                     Report: reg_active_borro,wers2,0
Registration Branch:    4  JESMOND,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,159,0
JUNIOR,18,0
TEMPORARY TICKET,17,0
STAFF,8,0
PSEUD,13,0
CLASS VISITS,2,0
BOOKSTART,333,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,6,0
PLAYGROUPS,1,0
SAINSBURYS BORN TO READ,1,0
SURE START WESTGATE,3,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,2,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,1,0
18+,3280,0
0-5,16,0
6-13,575,0
14-15,61,0
16-17,54,0
LEISUREPLUS CARD ADULT,9,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4564,,1
----------,,1
- 9 -,,1
01/10/08                     Report: reg_active_borro,wers2,0
Registration Branch:    5  KENTON,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,43,0
JUNIOR,4,0
TEMPORARY TICKET,1,0
STAFF,1,0
PSEUD,1,0
CARER,2,0
BOOKFRIEND,2,0
MINIBUS,5,0
CLASS VISITS,3,0
BOOKSTART,181,0
LIBRARY MAINTENANCE,11,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,11,0
SURE START NEWBIGGIN HALL,2,0
SURE START NORTH MOOR,266,0
18+,1440,0
0-5,5,0
6-13,510,0
14-15,61,0
16-17,78,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
