03/03/09                     Report: reg_active_borrow,ers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,170,0
JUNIOR,79,0
TEMPORARY TICKET,7,0
STAFF,11,0
VIDEO,3,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,6,0
WORKER,1,0
CLASS VISITS,45,0
BOOKSTART,633,0
LIBRARY MAINTENANCE,8,0
SURE START WESTGATE,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,4,0
SURE START COWGATE AND BLAKELAW,8,0
SURE START NEWBIGGIN HALL,12,0
SURE START NORTH MOOR,1,0
LIFELONG LEARNING,1,0
18+,3967,0
0-5,15,0
6-13,948,0
14-15,176,0
16-17,96,0
LEISUREPLUS CARD ADULT,15,0
VISUALLY IMPAIRED,3,0
Number of Borrowers        __________,,1
Active at this Branch:           6219,,1
----------,,1
- 3 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,143,0
JUNIOR,19,0
TEMPORARY TICKET,7,0
SUBSCRIPTION,1,0
STAFF,14,0
PSEUD,11,0
CARER,5,0
BOOKFRIEND,1,0
MINIBUS,28,0
HOMES,1,0
WORKER,2,0
CORPORATE,1,0
CLASS VISITS,40,0
BOOKSTART,1127,0
LIBRARY MAINTENANCE,18,0
PLAYGROUPS,1,0
SURE START COWGATE AND BLAKELAW,2,0
SURE START NORTH MOOR,78,0
18+,6749,0
0-5,28,0
6-13,1747,0
14-15,206,0
16-17,213,0
LEISUREPLUS CARD ADULT,18,0
VISUALLY IMPAIRED,5,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:          10466,,1
----------,,1
- 5 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,100,0
JUNIOR,22,0
TEMPORARY TICKET,12,0
STAFF,11,0
PSEUD,7,0
CARER,4,0
MINIBUS,2,0
CLASS VISITS,20,0
BOOKSTART,461,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,9,0
SURE START WESTGATE,9,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,37,0
SURE START COWGATE AND BLAKELAW,22,0
SURE START NORTH MOOR,3,0
18+,2463,0
0-5,27,0
6-13,806,0
14-15,114,0
16-17,90,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           4226,,1
----------,,1
- 7 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,130,0
JUNIOR,18,0
TEMPORARY TICKET,2,0
STAFF,9,0
PSEUD,13,0
CLASS VISITS,1,0
BOOKSTART,320,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,7,0
PLAYGROUPS,1,0
SAINSBURYS BORN TO READ,1,0
SURE START WESTGATE,1,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,1,0
SURE START NORTH MOOR,1,0
18+,3423,0
0-5,16,0
6-13,590,0
14-15,60,0
16-17,54,0
LEISUREPLUS CARD ADULT,10,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4662,,1
----------,,1
- 8 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    5  KENTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,39,0
JUNIOR,8,0
TEMPORARY TICKET,1,0
STAFF,1,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,4,0
CLASS VISITS,11,0
BOOKSTART,193,0
LIBRARY MAINTENANCE,16,0
PLAYGROUPS,1,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,10,0
SURE START NEWBIGGIN HALL,3,0
SURE START NORTH MOOR,262,0
18+,1445,0
0-5,9,0
6-13,532,0
14-15,63,0
16-17,74,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           2678,,1
----------,,1
- 9 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    6  WALKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,54,0
JUNIOR,10,0
STAFF,3,0
PSEUD,5,0
CARER,1,0
MINIBUS,1,0
WORKER,1,0
CLASS VISITS,14,0
BOOKSTART,160,0
LIBRARY MAINTENANCE,10,0
SURE START EAST,192,0
SURE START FOSSWAY,81,0
SURE START RIVERSIDE,1,0
18+,1221,0
0-5,5,0
6-13,398,0
14-15,46,0
16-17,40,0
LEISUREPLUS CARD ADULT,4,0
Number of Borrowers        __________,,1
Active at this Branch:           2247,,1
----------,,1
- 10 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    7  HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,76,0
JUNIOR,15,0
STAFF,3,0
PSEUD,10,0
CARER,2,0
MINIBUS,11,0
CLASS VISITS,7,0
BOOKSTART,243,0
LIBRARY MAINTENANCE,4,0
PLAYGROUPS,1,0
SURE START EAST,1,0
18+,1196,0
0-5,16,0
6-13,388,0
14-15,54,0
16-17,32,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2060,,1
----------,,1
- 11 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    8  ZHEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 12 -,,1
03/03/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    9  BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,42,0
JUNIOR,12,0
TEMPORARY TICKET,1,0
STAFF,4,0
PSEUD,2,0
CARER,1,0
BOOKFRIEND,5,0
MINIBUS,10,0
CLASS VISITS,18,0
BOOKSTART,201,0
LIBRARY MAINTENANCE,4,0
SURE START WESTGATE,9,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,415,0
SURE START COWGATE AND BLAKELAW,4,0
18+,1828,0
0-5,8,0
6-13,775,0
14-15,103,0
16-17,120,0
Number of Borrowers        __________,,1
Active at this Branch:           3563,,1
----------,,1
- 13 -,,1
