period_start,period_end,total_reservations,satisfied_7_days,satisfied_15_days,satisfied_30_days
2002-04,2002-06,16317,9251,1591,1646
2002-07,2002-09,16123,8765,1533,1796
2002-10,2002-12,14655,8411,1400,1870
2003-01,2003-03,15963,9167,1601,1731
2003-04,2003-06,16770,9268,1558,1874
2003-07,2003-09,19123,11272,1677,2102
2003-10,2003-12,17948,10516,1502,1857
2004-01,2004-03,20686,13084,1562,1966
2004-04,2004-06,19623,12125,1749,1922
2004-07,2004-09,20530,12876,1640,2150
2004-10,2004-12,18810,11867,1543,1971
2005-01,2005-03,19889,12402,1431,1852
2005-04,2005-06,19467,12302,1506,2100
2005-07,2005-09,20287,12754,1513,1795
2005-10,2005-12,18235,11661,1534,2006
2006-01,2006-03,20338,13487,1501,1782
2006-04,2006-06,18012,11893,1384,1708
2006-07,2006-09,17816,11015,1291,1507
2006-10,2006-12,15790,9433,1128,1583
2007-01,2007-03,17457,11570,1217,1455
2007-04,2007-06,16610,10951,1243,1552
2007-07,2007-09,17180,10859,1487,1548
2007-10,2007-12,,,,
2008-01,2008-03,,,,
2008-04,2008-06,16544,10551,1513,1690
2008-07,2008-09,16795,10892,1951,1847
2008-10,2008-12,15306,9635,1491,1661
2009-01,2009-03,16698,11035,1441,1426
2009-04,2009-06,16420,9982,1521,1354
2009-07,2009-09,22276,13491,2312,2356
2009-10,2009-12,19166,11849,1903,2295
2010-01,2010-03,21466,13755,1930,1921
2010-04,2010-06,20659,12591,1891,2116
2010-07,2010-09,27876,16516,2449,2660
2010-10,2010-12,26202,14425,2424,3081
2011-01,2011-03,10941,5897,955,1203
2011-04,2011-06,13927,8228,1466,1733
2011-07,2011-09,15272,9420,1295,1451
2011-10,2011-12,13563,8008,1072,1228
2012-01,2012-03,15146,9783,1185,1362
2012-04,2012-06,13854,8635,1127,1433
2012-07,2012-09,13320,8684,1208,1306
2012-10,2012-12,11203,6882,986,1367
2013-01,2013-03,12082,7788,962,1180
2013-04,2013-06,10274,6684,862,1052
2013-07,2013-09,9405,5392,898,1036
2013-10,2013-12,8018,4458,791,1055
2014-01,2014-03,8854,5194,709,983
2014-04,2014-06,7382,4270,671,927
2014-07,2014-09,7305,4320,660,765
2014-10,2014-12,6164,3499,648,828
2015-01,2015-03,6087,3621,542,657
2015-04,2015-06,5124,2845,571,581
2015-07,2015-09,5626,3202,607,673
2015-10,2015-12,4764,2821,495,602
