Library,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
Blakelaw,1768,1820,1820,1820,1777,1777,1777,2695,2695,2695,2067,2067,2067,1837,1837,1837,2496,2496,2496,1755,1755,1755,1534,1534,1534,1437,1437,1437,1993,1993,1993,1547,1547,1547,3740,2731,2023,1905,1570,2061,2016,2076,1895,1849,1127,1715,1913,2444,1680,1410,1591,1925,1879,1105,1669,1571,795,1168,1817,1534,1750,1506,1550,1789,1991,2546,2664,2589,1563,1906,1946,2481,1499,1796,1941,1864,1505,1996,2085,2058,1383,1620,1740,2123,1761,1833,2255,2094,1884,1998,3122,2833,2380,2826,2409,2363,2051,1476,2047,2156,1859,1854,1874,1843,1543,1674,1256,1548,1687,1873,1734,1658,1254,1579,1679,1786,1387,1495,1346,1291,1296,1387,1391,1359,1271,1597,1379,1375,1132,1684,845,796,785,589,629,699,129,101,107,95,72,64,105,,,,0,0,0,0,0,0,10,20,19,25,42,53
City,16326,19763,16439,16118,21817,17531,17106,14476,14622,12621,12683,14914,4685,15482,93851,114963,107539,102683,109229,96066,80784,87343,99292,105213,90227,91773,94781,95719,95688,95518,99759,93160,73549,88713,91461,99222,76823,86254,89102,86072,87450,83099,85773,80571,73543,77825,80796,79552,75863,77018,74685,81519,80171,82258,86321,80381,67211,75012,74007,73385,76821,75699,71806,76948,53157,67863,67863,67863,67863,63134,64506,60836,55649,55649,58981,64122,67600,69071,68438,66186,58631,67058,64434,68720,61643,64774,63620,67084,63523,62178,63204,62238,50912,57627,63405,61221,67403,60388,59304,58149,60403,57427,58557,57791,49239,55156,54967,58820,52753,56776,55027,56118,59766,56741,58517,59209,45511,57049,53034,55801,54290,55278,53083,53551,54830,52910,57850,57757,46198,56660,50793,56452,49030,52035,43374,46245,48849,46061,51406,46800,37083,47965,47452,,,,7663,9756,11764,11278,11264,14828,15859,18434,16704,16704,18657,22780
Cruddas Park,2175,2799,2799,2799,2201,2201,2201,2726,2726,2726,2533,3010,2775,2615,2705,2869,2836,2658,2561,2452,2119,2257,2367,2756,2749,2410,3022,2970,2648,2615,2534,2700,1757,2359,2306,2613,2178,2503,2388,2659,2503,2946,2520,2789,2089,2275,2106,2691,2378,2390,2086,2466,2365,2342,2438,2267,1722,2051,2000,2032,2026,2314,783,,,,,,,,,,,,439,1140,1188,1500,1248,1391,939,1030,1271,1135,890,1052,1160,1363,1169,1401,1294,1209,889,1127,1088,990,1122,1066,956,993,989,1176,946,1016,793,1206,1075,1014,840,985,1031,1051,922,963,1037,1018,963,903,969,886,910,968,966,939,887,931,1220,1005,705,1047,965,1001,1110,1065,1265,1197,1256,1189,1119,1164,750,1102,1092,,,,53,125,163,297,276,348,483,621,398,539,543,690
Denton Burn,5672,3488,3488,3488,6695,6695,6695,6790,4701,3980,5980,6627,6154,5606,5606,5606,7042,7042,7042,7510,7510,7510,5568,5568,5568,4988,4988,4988,6756,6756,6756,5425,3808,5995,6852,6558,5594,6032,5310,5226,5785,5451,6475,5387,3980,5030,5119,5427,4529,4960,4992,4946,5204,4996,5111,3969,2137,3623,3597,4015,4149,4011,3415,827,914,988,938,894,622,805,859,913,731,696,984,768,669,851,92,,,,,,116,741,706,728,714,780,834,752,464,586,718,596,421,423,499,533,536,668,711,634,445,567,612,659,560,481,575,696,681,677,731,665,510,676,714,614,575,516,559,623,502,516,556,555,490,556,524,649,592,527,472,615,634,582,702,579,435,629,589,,,,84,251,262,296,437,443,396,370,77,262,350,555
Dinnington,425,377,377,377,524,524,524,407,407,407,429,429,429,524,524,524,576,576,576,485,485,485,420,420,420,529,529,529,646,646,646,524,524,524,550,550,550,1161,1161,1161,516,516,516,381,381,381,533,533,533,477,477,477,616,616,616,1040,1040,1040,416,416,416,290,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East End,26758,25515,25515,23496,29279,28880,26005,23669,23669,23669,26838,26328,19596,26960,17894,26262,22831,22831,22831,19726,14125,17529,18748,18748,18748,19543,17202,21637,21552,24465,16406,17924,12473,15822,18300,19552,12919,16494,18475,19383,17767,17624,16311,18652,13129,18863,19201,18910,16605,18301,17991,20699,21095,17398,20095,19047,13669,17283,17822,17620,16415,13788,14022,18033,18194,16213,20443,16947,11206,21872,15740,17517,15063,16631,17854,19719,25957,22475,22424,19176,15143,19065,18088,18919,17739,18229,17944,19040,20418,20301,21811,19707,14739,17724,19531,19749,21154,3866,,2221,3419,3419,3419,2422,2422,2422,4017,4017,4017,2479,2479,2479,2526,2526,2526,3038,3038,3038,2994,2994,2994,3163,3163,3163,3445,3445,3445,3449,3449,3449,3259,3259,3259,2898,2898,2898,2898,2898,2898,1434,1434,1434,2126,2126,,,376,601,678,646,954,945,1080,984,670,1067,1305,1562
Fawdon,1005,1127,1127,1127,1465,1465,1465,1465,2506,1806,2219,1852,1990,2318,2006,2700,2617,2142,2595,2622,2271,2113,2643,2550,2140,1910,2468,2907,3625,2132,2449,2221,1815,2541,2345,2610,1947,2294,2373,2080,2202,1331,1288,1411,1258,1247,1541,1396,1326,1256,1128,1333,1244,1278,1624,1571,908,1403,1223,1079,969,1341,1114,997,1356,1131,1045,798,581,742,769,919,702,638,678,603,520,593,578,620,393,556,666,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenham,12831,4338,4338,4338,3887,3887,3887,6192,6192,6192,5352,5352,5352,4845,4845,4845,4216,4216,4216,3441,3441,3441,5638,5638,5638,4914,4914,6715,6513,6463,6493,5655,0,0,0,3956,4031,4576,4719,4839,5135,5196,4966,5202,3410,4602,4345,3607,3433,4942,3780,4593,4403,3727,4055,4155,2684,4289,3719,3666,3914,3711,3745,4099,4107,3997,,,,,,4860,3720,3787,4222,2856,3288,3035,3156,2723,1756,2403,2197,2395,2117,1478,2223,2093,2337,2325,2417,2007,1224,1812,1802,1696,1674,1118,1118,1476,1212,1422,1353,1276,908,1188,1096,1297,1359,1375,1092,1042,2100,1414,1158,1780,1174,1618,1544,1271,1646,1335,1332,1051,1555,757,319,382,298,849,757,817,1542,1580,1410,1715,1823,1628,1737,1453,1177,1476,1633,,,,104,245,316,473,702,747,952,757,744,985,1263,1482
Gosforth,24540,22024,21491,22084,24263,23564,24827,19838,17525,23480,20787,21917,20620,20440,21056,20941,19776,18309,16367,20386,15421,18420,19147,20652,18927,22905,21256,21141,20550,19595,19005,18303,12951,15268,18084,19605,15711,18056,16728,17490,17471,18809,18426,17856,15392,18290,16973,18065,15468,17661,15162,16508,15325,16030,18213,18808,13141,15911,15044,16729,15447,13468,11818,12542,12439,12668,13769,16070,11012,16228,13953,13953,13953,10998,10998,10998,11860,11860,11860,13065,13065,13065,11501,11501,11501,12021,12021,12021,8173,8173,8173,12727,12727,12727,11141,11141,11141,3995,3995,3995,3246,3246,3246,2942,2942,2942,3493,3493,3493,3532,3532,3532,2899,2899,2899,5066,5066,5066,4416,4416,4416,3185,3185,3185,3623,3623,3623,3566,3566,3566,3679,3679,3679,3442,3442,3442,4043,4043,4043,3538,3538,3538,3887,3887,,,567,967,1022,1603,1048,1476,1751,1634,1192,1680,1755,2267
High Heaton,0,0,0,0,0,4472,6996,6996,6996,6996,4889,5558,4625,2656,2656,2656,4719,4726,4848,5020,3358,4221,4433,4513,3816,3727,2726,3448,3708,3917,4543,3610,2506,3727,3640,4031,3143,3691,3314,3341,3357,3462,3353,3266,2604,3097,3285,2914,2600,2758,2579,2463,3989,3395,3628,3475,2509,3320,3367,3082,2828,2806,2585,1297,1534,1096,1190,1168,908,1307,1219,1090,1077,1062,801,908,1129,909,824,845,845,845,1092,1092,1092,992,992,992,919,919,919,992,992,992,971,971,971,1192,1192,1192,1391,1391,1391,1478,1478,1478,1248,1248,1248,1179,1179,1179,1070,1070,1070,1512,1512,1512,1200,1200,1200,1027,1027,1027,884,884,884,958,958,958,1304,1304,1304,1120,1120,1120,1381,1381,1381,937,937,937,1255,1255,,,233,334,49,571,630,623,581,643,528,683,730,958
